plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
1,1,100+30,5,100,30
2,4,200+60,9,200,60
3,4,0+30,2,0,30
4,4,200+30,8,200,30
5,3,0+0,1,0,0
6,4,0+0,1,0,0
7,2,200+0,7,200,0
8,4,200+0,7,200,0
9,1,0+0,1,0,0
10,1,0+60,3,0,60
11,4,100+60,6,100,60
12,1,200+0,7,200,0
13,2,0+0,1,0,0
14,2,200+30,8,200,30
15,1,100+0,4,100,0
16,2,0+30,2,0,30
17,2,100+30,5,100,30
18,4,100+0,4,100,0
19,1,200+60,9,200,60
20,1,200+30,8,200,30
21,4,0+60,3,0,60
22,3,200+30,8,200,30
23,4,100+30,5,100,30
24,2,100+60,6,100,60
25,3,100+30,5,100,30
26,3,200+60,9,200,60
27,1,0+30,2,0,30
28,2,0+60,3,0,60
29,3,0+30,2,0,30
30,2,200+60,9,200,60
31,3,200+0,7,200,0
32,1,100+60,6,100,60
33,3,100+0,4,100,0
34,3,100+60,6,100,60
35,3,0+60,3,0,60
36,2,100+0,4,100,0
